"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"430",15,"Greg Dortch",DET,"WR146","6","-","-","4 out of 5 stars","+38"
"431",15,"Dyami Brown",WAS,"WR147","7","-","-","2 out of 5 stars","-"
"432",15,"Washington Commanders",WAS,"DST31","7","-","-","2 out of 5 stars","-153"
"433",15,"Cade Klubnik",NYJ,"QB46","13","-","-","4 out of 5 stars","-3"
"434",15,"Xavier Restrepo",TEN,"WR148","9","-","-","3 out of 5 stars","-"
"435",15,"Terrell Jennings",NE,"RB117","11","-","-","2 out of 5 stars","+67"
"436",15,"Jonnu Smith",FA,"TE62","-","-","-","-","-"
"437",15,"Tommy Myers",FA,"TE63","-","-","-","-","-"
"438",15,"Jeremy McNichols",WAS,"RB118","7","-","-","4 out of 5 stars","-"
"439",15,"Demarcus Robinson",SF,"WR149","8","-","-","2 out of 5 stars","+137"
"440",15,"Ty Chandler",NO,"RB119","8","-","-","3 out of 5 stars","-"
"441",15,"Colbie Young",CIN,"WR150","6","-","-","4 out of 5 stars","+78"
"442",15,"Brandin Cooks",FA,"WR151","-","-","-","-","-"
"443",15,"Zavier Scott",MIN,"RB120","6","-","-","4 out of 5 stars","+183"
"444",15,"Khalil Herbert",SF,"RB121","8","-","-","2 out of 5 stars","-"
"445",15,"Hunter Luepke",DAL,"RB122","14","-","-","4 out of 5 stars","+21"
"446",15,"Jahdae Walker",CHI,"WR152","10","-","-","3 out of 5 stars","-84"
"447",15,"DeAndre Hopkins",BAL,"WR153","13","-","-","4 out of 5 stars","-"
"448",15,"Tai Felton",MIN,"WR154","6","-","-","5 out of 5 stars","+31"
"449",15,"Will Kacmarek",MIA,"TE64","6","-","-","5 out of 5 stars","+60"
"450",15,"Tyler Goodson",ATL,"RB123","11","-","-","2 out of 5 stars","+164"
"451",15,"Mitch Tinsley",CIN,"WR155","6","-","-","4 out of 5 stars","+24"
"452",15,"Dylan Laube",LV,"RB124","13","-","-","2 out of 5 stars","-"
"453",15,"Antonio Gibson",FA,"RB125","-","-","-","-","-"
"454",15,"Odell Beckham Jr.",NYG,"WR156","8","-","-","4 out of 5 stars","-129"
"455",15,"Jalen Milroe",SEA,"QB47","11","-","-","4 out of 5 stars","+49"
"456",15,"Tyler Lockett",LV,"WR157","13","-","-","2 out of 5 stars","-"
"457",15,"Xavier Smith",LAR,"WR158","11","-","-","1 out of 5 stars","+15"
"458",15,"Elijah Moore",PHI,"WR159","10","-","-","4 out of 5 stars","+140"
"459",15,"Tanner Koziol",JAC,"TE65","7","-","-","3 out of 5 stars","+36"
"460",15,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-162"
"461",15,"Diontae Johnson",FA,"WR160","-","-","-","-","-"
"462",15,"Elijah Higgins",ARI,"TE66","14","-","-","2 out of 5 stars","-91"
"463",15,"Theo Wease Jr.",MIA,"WR161","6","-","-","3 out of 5 stars","-"
"464",15,"Josh Oliver",MIN,"TE67","6","-","-","4 out of 5 stars","-2"
"465",15,"Adam Trautman",DEN,"TE68","10","-","-","4 out of 5 stars","+55"
"466",15,"Miles Sanders",FA,"RB126","-","-","-","-","-"
"467",15,"Riley Leonard",IND,"QB48","13","-","-","4 out of 5 stars","-7"
"468",15,"Raheem Mostert",LV,"RB127","13","-","-","2 out of 5 stars","-"
"469",15,"Jermaine Burton",FA,"WR162","-","-","-","-","-"
"470",15,"Jackson Hawes",BUF,"TE69","7","-","-","3 out of 5 stars","+100"
"471",15,"Quinn Ewers",MIA,"QB49","6","-","-","3 out of 5 stars","-70"
"472",15,"Elijah Mitchell",FA,"RB128","-","-","-","-","-"
"473",15,"Mo Alie-Cox",IND,"TE70","13","-","-","3 out of 5 stars","+25"
"474",15,"Reggie Gilliam",NE,"RB129","11","-","-","2 out of 5 stars","+55"
"475",15,"Marquez Valdes-Scantling",DAL,"WR163","14","-","-","2 out of 5 stars","-41"
"476",15,"Reggie Virgil",ARI,"WR164","14","-","-","2 out of 5 stars","+52"
"477",16,"Michael Woods II",DEN,"WR165","10","-","-","2 out of 5 stars","-"
"478",16,"Van Jefferson",WAS,"WR166","7","-","-","2 out of 5 stars","+16"
"479",16,"Marlin Klein",HOU,"TE71","8","-","-","4 out of 5 stars","+38"
"480",16,"Jimmy Horn Jr.",CAR,"WR167","5","-","-","2 out of 5 stars","-89"
"481",16,"Robert Henry Jr.",WAS,"RB130","7","-","-","4 out of 5 stars","-"
"482",16,"Max Bredeson",MIN,"RB131","6","-","-","4 out of 5 stars","+43"
"483",16,"Zamir White",SF,"RB132","8","-","-","2 out of 5 stars","+118"
"484",16,"Gabe Davis",FA,"WR168","-","-","-","-","-"
"485",16,"Sincere McCormick",SF,"RB133","8","-","-","2 out of 5 stars","-"
"486",16,"Gardner Minshew II",ARI,"QB50","14","-","-","2 out of 5 stars","0"
"487",16,"Tim Patrick",NYJ,"WR169","13","-","-","4 out of 5 stars","+5"
"488",16,"Luke Schoonmaker",DAL,"TE72","14","-","-","2 out of 5 stars","-131"
"489",16,"David Sills V",TB,"WR170","10","-","-","4 out of 5 stars","-"
"490",16,"Cam Akers",FA,"RB134","-","-","-","-","-"
"491",16,"Miles Davis",CAR,"RB135","5","-","-","1 out of 5 stars","-"
"492",16,"Taysom Hill",FA,"TE73","-","-","-","-","+59"
"493",16,"Frank Gore Jr.",BUF,"RB136","7","-","-","2 out of 5 stars","+10"
"494",16,"Gus Edwards",FA,"RB137","-","-","-","-","-"
"495",16,"Trey Lance",LAC,"QB51","7","-","-","2 out of 5 stars","-47"
"496",16,"Tyrod Taylor",GB,"QB52","11","-","-","4 out of 5 stars","-129"
"497",16,"JuJu Smith-Schuster",NYG,"WR171","8","-","-","4 out of 5 stars","-150"
"498",16,"Jaydn Ott",KC,"RB138","5","-","-","3 out of 5 stars","-"
"499",16,"Cash Jones",ATL,"RB139","11","-","-","2 out of 5 stars","-"
"500",16,"Juice Wells Jr.",ATL,"WR172","11","-","-","3 out of 5 stars","-"
"501",16,"Lil'Jordan Humphrey",DEN,"WR173","10","-","-","2 out of 5 stars","-152"
"502",16,"Myles Montgomery",FA,"RB140","-","-","-","-","-"
"503",16,"Jason Sanders",NYJ,"K33","13","-","-","2 out of 5 stars","-159"
"504",16,"Jacob Cowing",SF,"WR174","8","-","-","2 out of 5 stars","-"
"505",16,"Michael Trigg",DAL,"TE74","14","-","-","2 out of 5 stars","-121"
